"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50237.794429,
"AUS","GDP","TOT","USD_CAP","A","2017",51011.462916,
"AUS","GDP","TOT","USD_CAP","A","2018",54262.882851,
"AUS","GDP","TOT","USD_CAP","A","2019",54262.617559,"E"
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54358.361866,
"AUT","GDP","TOT","USD_CAP","A","2018",58869.527616,
"AUT","GDP","TOT","USD_CAP","A","2019",60414.13482,
"BEL","GDP","TOT","USD_CAP","A","2016",48597.487117,
"BEL","GDP","TOT","USD_CAP","A","2017",50596.424047,
"BEL","GDP","TOT","USD_CAP","A","2018",54330.063651,
"BEL","GDP","TOT","USD_CAP","A","2019",56324.225263,
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48479.823591,
"CAN","GDP","TOT","USD_CAP","A","2018",51106.895704,
"CAN","GDP","TOT","USD_CAP","A","2019",51822.194963,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38966.92957,
"CZE","GDP","TOT","USD_CAP","A","2018",42446.185783,
"CZE","GDP","TOT","USD_CAP","A","2019",44298.571352,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55533.254696,
"DNK","GDP","TOT","USD_CAP","A","2018",59272.490257,
"DNK","GDP","TOT","USD_CAP","A","2019",62106.494063,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47722.171944,
"FIN","GDP","TOT","USD_CAP","A","2018",51296.001533,
"FIN","GDP","TOT","USD_CAP","A","2019",53160.333274,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44622.758264,
"FRA","GDP","TOT","USD_CAP","A","2018",47922.188509,"P"
"FRA","GDP","TOT","USD_CAP","A","2019",50693.499396,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53121.987176,
"DEU","GDP","TOT","USD_CAP","A","2018",56688.96969,
"DEU","GDP","TOT","USD_CAP","A","2019",57557.866746,
"GRC","GDP","TOT","USD_CAP","A","2016",27471.218206,
"GRC","GDP","TOT","USD_CAP","A","2017",28736.44645,
"GRC","GDP","TOT","USD_CAP","A","2018",30617.584776,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",31789.788858,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",27911.664733,
"HUN","GDP","TOT","USD_CAP","A","2017",29559.214471,
"HUN","GDP","TOT","USD_CAP","A","2018",32834.039347,
"HUN","GDP","TOT","USD_CAP","A","2019",34962.136129,"P"
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"ISL","GDP","TOT","USD_CAP","A","2017",55825.946588,
"ISL","GDP","TOT","USD_CAP","A","2018",59974.513476,
"ISL","GDP","TOT","USD_CAP","A","2019",61343.56793,
"IRL","GDP","TOT","USD_CAP","A","2016",71793.285749,
"IRL","GDP","TOT","USD_CAP","A","2017",78990.825863,
"IRL","GDP","TOT","USD_CAP","A","2018",87710.318864,
"IRL","GDP","TOT","USD_CAP","A","2019",92232.233525,
"ITA","GDP","TOT","USD_CAP","A","2016",39926.966169,
"ITA","GDP","TOT","USD_CAP","A","2017",41713.908342,
"ITA","GDP","TOT","USD_CAP","A","2018",44444.728353,
"ITA","GDP","TOT","USD_CAP","A","2019",45691.022299,
"JPN","GDP","TOT","USD_CAP","A","2016",39983.643655,
"JPN","GDP","TOT","USD_CAP","A","2017",41119.380726,
"JPN","GDP","TOT","USD_CAP","A","2018",42840.187959,
"JPN","GDP","TOT","USD_CAP","A","2019",43642.659579,"E"
"KOR","GDP","TOT","USD_CAP","A","2016",39575.302078,
"KOR","GDP","TOT","USD_CAP","A","2017",41110.573582,
"KOR","GDP","TOT","USD_CAP","A","2018",43678.190552,
"KOR","GDP","TOT","USD_CAP","A","2019",44011.314924,"P"
"LUX","GDP","TOT","USD_CAP","A","2016",110260.934439,
"LUX","GDP","TOT","USD_CAP","A","2017",112545.970282,
"LUX","GDP","TOT","USD_CAP","A","2018",120156.754003,
"LUX","GDP","TOT","USD_CAP","A","2019",124268.964609,
"MEX","GDP","TOT","USD_CAP","A","2016",19516.145022,
"MEX","GDP","TOT","USD_CAP","A","2017",20012.583314,
"MEX","GDP","TOT","USD_CAP","A","2018",20611.563098,"E"
"MEX","GDP","TOT","USD_CAP","A","2019",21244.358862,"E"
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NLD","GDP","TOT","USD_CAP","A","2017",55265.493783,
"NLD","GDP","TOT","USD_CAP","A","2018",59727.051958,"P"
"NLD","GDP","TOT","USD_CAP","A","2019",61242.063233,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",39896.683502,
"NZL","GDP","TOT","USD_CAP","A","2017",42338.884063,
