LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,USD_CAP,A,2016,50237.79443,
AUS,GDP,TOT,USD_CAP,A,2017,51011.46292,
AUS,GDP,TOT,USD_CAP,A,2018,54262.88285,
AUS,GDP,TOT,USD_CAP,A,2019,54262.61756,E
AUT,GDP,TOT,USD_CAP,A,2016,52665.08746,
AUT,GDP,TOT,USD_CAP,A,2017,54358.36187,
AUT,GDP,TOT,USD_CAP,A,2018,58869.52762,
AUT,GDP,TOT,USD_CAP,A,2019,60414.13482,
BEL,GDP,TOT,USD_CAP,A,2016,48597.48712,
BEL,GDP,TOT,USD_CAP,A,2017,50596.42405,
BEL,GDP,TOT,USD_CAP,A,2018,54330.06365,
BEL,GDP,TOT,USD_CAP,A,2019,56324.22526,
CAN,GDP,TOT,USD_CAP,A,2016,46472.36877,
CAN,GDP,TOT,USD_CAP,A,2017,48479.82359,
CAN,GDP,TOT,USD_CAP,A,2018,51106.8957,
CAN,GDP,TOT,USD_CAP,A,2019,51822.19496,
CZE,GDP,TOT,USD_CAP,A,2016,36101.2856,
CZE,GDP,TOT,USD_CAP,A,2017,38966.92957,
CZE,GDP,TOT,USD_CAP,A,2018,42446.18578,
CZE,GDP,TOT,USD_CAP,A,2019,44298.57135,
DNK,GDP,TOT,USD_CAP,A,2016,51967.02044,
DNK,GDP,TOT,USD_CAP,A,2017,55533.2547,
DNK,GDP,TOT,USD_CAP,A,2018,59272.49026,
DNK,GDP,TOT,USD_CAP,A,2019,62106.49406,
FIN,GDP,TOT,USD_CAP,A,2016,44934.48825,
FIN,GDP,TOT,USD_CAP,A,2017,47722.17194,
FIN,GDP,TOT,USD_CAP,A,2018,51296.00153,
FIN,GDP,TOT,USD_CAP,A,2019,53160.33327,
FRA,GDP,TOT,USD_CAP,A,2016,42855.94456,
FRA,GDP,TOT,USD_CAP,A,2017,44622.75826,
FRA,GDP,TOT,USD_CAP,A,2018,47922.18851,P
FRA,GDP,TOT,USD_CAP,A,2019,50693.4994,P
DEU,GDP,TOT,USD_CAP,A,2016,50579.48372,
DEU,GDP,TOT,USD_CAP,A,2017,53121.98718,
DEU,GDP,TOT,USD_CAP,A,2018,56688.96969,
DEU,GDP,TOT,USD_CAP,A,2019,57557.86675,
GRC,GDP,TOT,USD_CAP,A,2016,27471.21821,
GRC,GDP,TOT,USD_CAP,A,2017,28736.44645,
GRC,GDP,TOT,USD_CAP,A,2018,30617.58478,P
GRC,GDP,TOT,USD_CAP,A,2019,31789.78886,P
HUN,GDP,TOT,USD_CAP,A,2016,27911.66473,
HUN,GDP,TOT,USD_CAP,A,2017,29559.21447,
HUN,GDP,TOT,USD_CAP,A,2018,32834.03935,
HUN,GDP,TOT,USD_CAP,A,2019,34962.13613,P
ISL,GDP,TOT,USD_CAP,A,2016,53486.61577,
ISL,GDP,TOT,USD_CAP,A,2017,55825.94659,
ISL,GDP,TOT,USD_CAP,A,2018,59974.51348,
ISL,GDP,TOT,USD_CAP,A,2019,61343.56793,
IRL,GDP,TOT,USD_CAP,A,2016,71793.28575,
IRL,GDP,TOT,USD_CAP,A,2017,78990.82586,
IRL,GDP,TOT,USD_CAP,A,2018,87710.31886,
IRL,GDP,TOT,USD_CAP,A,2019,92232.23353,
ITA,GDP,TOT,USD_CAP,A,2016,39926.96617,
ITA,GDP,TOT,USD_CAP,A,2017,41713.90834,
ITA,GDP,TOT,USD_CAP,A,2018,44444.72835,
ITA,GDP,TOT,USD_CAP,A,2019,45691.0223,
JPN,GDP,TOT,USD_CAP,A,2016,39983.64366,
JPN,GDP,TOT,USD_CAP,A,2017,41119.38073,
JPN,GDP,TOT,USD_CAP,A,2018,42840.18796,
JPN,GDP,TOT,USD_CAP,A,2019,43642.65958,E
KOR,GDP,TOT,USD_CAP,A,2016,39575.30208,
KOR,GDP,TOT,USD_CAP,A,2017,41110.57358,
KOR,GDP,TOT,USD_CAP,A,2018,43678.19055,
KOR,GDP,TOT,USD_CAP,A,2019,44011.31492,P
LUX,GDP,TOT,USD_CAP,A,2016,110260.9344,
LUX,GDP,TOT,USD_CAP,A,2017,112545.9703,
LUX,GDP,TOT,USD_CAP,A,2018,120156.754,
LUX,GDP,TOT,USD_CAP,A,2019,124268.9646,
MEX,GDP,TOT,USD_CAP,A,2016,19516.14502,
MEX,GDP,TOT,USD_CAP,A,2017,20012.58331,
MEX,GDP,TOT,USD_CAP,A,2018,20611.5631,E
MEX,GDP,TOT,USD_CAP,A,2019,21244.35886,E
NLD,GDP,TOT,USD_CAP,A,2016,52289.40429,
NLD,GDP,TOT,USD_CAP,A,2017,55265.49378,
NLD,GDP,TOT,USD_CAP,A,2018,59727.05196,P
NLD,GDP,TOT,USD_CAP,A,2019,61242.06323,P
NZL,GDP,TOT,USD_CAP,A,2016,39896.6835,
NZL,GDP,TOT,USD_CAP,A,2017,42338.88406,
NZL,GDP,TOT,USD_CAP,A,2018,44463.05265,P
NZL,GDP,TOT,USD_CAP,A,2019,45163.30212,E
NOR,GDP,TOT,USD_CAP,A,2016,58923.24014,
NOR,GDP,TOT,USD_CAP,A,2017,64254.89262,
NOR,GDP,TOT,USD_CAP,A,2018,71909.29958,
NOR,GDP,TOT,USD_CAP,A,2019,70381.79091,
POL,GDP,TOT,USD_CAP,A,2016,27985.34001,
POL,GDP,TOT,USD_CAP,A,2017,29809.47576,
POL,GDP,TOT,USD_CAP,A,2018,32611.36621,
POL,GDP,TOT,USD_CAP,A,2019,34781.29129,
PRT,GDP,TOT,USD_CAP,A,2016,31607.61019,
PRT,GDP,TOT,USD_CAP,A,2017,33150.21863,
PRT,GDP,TOT,USD_CAP,A,2018,36034.25418,
PRT,GDP,TOT,USD_CAP,A,2019,37856.22707,P
SVK,GDP,TOT,USD_CAP,A,2016,29659.33117,
SVK,GDP,TOT,USD_CAP,A,2017,30194.10146,
SVK,GDP,TOT,USD_CAP,A,2018,32557.96124,
SVK,GDP,TOT,USD_CAP,A,2019,33520.99173,
ESP,GDP,TOT,USD_CAP,A,2016,37313.63491,
ESP,GDP,TOT,USD_CAP,A,2017,39706.57601,
ESP,GDP,TOT,USD_CAP,A,2018,42067.24875,P
ESP,GDP,TOT,USD_CAP,A,2019,43470.59026,P
SWE,GDP,TOT,USD_CAP,A,2016,50430.17456,
SWE,GDP,TOT,USD_CAP,A,2017,52113.82328,
SWE,GDP,TOT,USD_CAP,A,2018,55243.37002,
SWE,GDP,TOT,USD_CAP,A,2019,56701.10903,
CHE,GDP,TOT,USD_CAP,A,2016,68105.13818,
CHE,GDP,TOT,USD_CAP,A,2017,69324.22951,
CHE,GDP,TOT,USD_CAP,A,2018,73968.51586,
CHE,GDP,TOT,USD_CAP,A,2019,75294.81027,
TUR,GDP,TOT,USD_CAP,A,2016,26695.90937,
TUR,GDP,TOT,USD_CAP,A,2017,28283.0876,
TUR,GDP,TOT,USD_CAP,A,2018,29155.1851,
TUR,GDP,TOT,USD_CAP,A,2019,28422.87245,
GBR,GDP,TOT,USD_CAP,A,2016,44125.53499,
GBR,GDP,TOT,USD_CAP,A,2017,45903.89204,
GBR,GDP,TOT,USD_CAP,A,2018,48651.56579,
GBR,GDP,TOT,USD_CAP,A,2019,49912.44555,
USA,GDP,TOT,USD_CAP,A,2016,58000.88803,
USA,GDP,TOT,USD_CAP,A,2017,60091.56878,
USA,GDP,TOT,USD_CAP,A,2018,63043.04647,
USA,GDP,TOT,USD_CAP,A,2019,65240.37903,
CHL,GDP,TOT,USD_CAP,A,2016,23349.677,
CHL,GDP,TOT,USD_CAP,A,2017,24479.27726,
CHL,GDP,TOT,USD_CAP,A,2018,25456.70985,
CHL,GDP,TOT,USD_CAP,A,2019,26879.86194,
CHN,GDP,TOT,USD_CAP,A,2016,13532.91518,
CHN,GDP,TOT,USD_CAP,A,2017,14306.39612,
COL,GDP,TOT,USD_CAP,A,2016,14102.51162,
COL,GDP,TOT,USD_CAP,A,2017,14529.07438,
COL,GDP,TOT,USD_CAP,A,2018,15450.97673,P
COL,GDP,TOT,USD_CAP,A,2019,16480.10939,E
